date,equity_lr,equity_bh
2024-09-06,1044416.0964861418,1023796.8927624101
2024-09-09,1056109.629286018,1035259.5680181888
2024-09-10,1060709.7297924156,1039768.8518378175
2024-09-11,1071591.4801499865,1050435.7711254263
2024-09-12,1080617.7277822879,1059283.8196286475
2024-09-13,1086261.5485716495,1064816.2182644943
2024-09-16,1087865.7853028723,1066388.7836301632
2024-09-17,1088310.3328308014,1066824.5547555895
2024-09-18,1085082.5312149676,1063660.477453581
2024-09-19,1103598.9021608876,1081811.2921561198
2024-09-20,1098322.3162859022,1076638.8783630165
2024-09-23,1101066.91406703,1079329.291398257
2024-09-24,1104217.4030693106,1082417.5824175824
2024-09-25,1101782.0557423944,1080030.3145130733
2024-09-26,1106150.2184081331,1084312.2394846533
2024-09-27,1104545.9816769108,1082739.6741189847
2024-09-30,1108972.1288028143,1087078.4388025769
2024-10-01,1099037.4579612664,1077339.9014778326
2024-10-02,1099501.3336425838,1077794.6191739298
2024-10-03,1097491.2056902084,1075824.175824176
2024-10-04,1107464.5328385327,1085600.6062902617
2024-10-07,1097452.549383432,1075786.2826828344
2024-10-08,1107831.7677529089,1085960.591133005
2024-10-09,1115505.0446480343,1093482.3796892765
2024-10-10,1113552.9011558236,1091568.7760515348
2024-10-11,1120221.1140747613,1098105.3429329293
2024-10-14,1129382.6587807802,1107086.0174308452
2024-10-15,1120607.6771425258,1098484.2743463435
2024-10-16,1125478.3717963586,1103258.810155362
2024-10-17,1125575.0125632999,1103353.5430087156
2024-10-18,1129904.5189222624,1107597.5748389543
2024-10-21,1128049.0161969925,1105778.7040545663
2024-10-22,1127449.8434419576,1105191.3603637745
2024-10-23,1117147.9376860335,1095092.8381962867
2024-10-24,1119563.9568595616,1097461.159530125
2024-10-25,1119177.393791797,1097082.228116711
2024-10-28,1122637.1332482896,1100473.664266768
2024-10-29,1124453.9796667825,1102254.6419098144
2024-10-30,1121052.224670455,1098920.0454717698
2024-10-31,1099076.1142680428,1077377.794619174
2024-11-01,1103714.871081217,1081924.971580144
2024-11-04,1101337.508214465,1079594.5433876468
2024-11-05,1114654.6058989526,1092648.7305797653
2024-11-06,1142371.1778576674,1119818.1129215613
2024-11-07,1151204.1439560864,1128476.6957180751
2024-11-08,1156190.8075302488,1133364.910951118
2024-11-11,1157292.5122733775,1134444.8654793485
2024-11-12,1153697.4757431676,1130920.8033345966
2024-11-13,1154257.9921914262,1131470.2538840473
2024-11-14,1146835.9812903476,1124194.770746495
2024-11-15,1132146.5847152963,1109795.3770367566
2024-11-18,1136785.3415284704,1114342.5539977264
2024-11-19,1140940.8945069388,1118416.0666919288
2024-11-20,1141327.4575747033,1118794.998105343
2024-11-21,1147454.4821987706,1124801.0610079577
2024-11-22,1151010.862422204,1128287.2300113682
2024-11-25,1154915.1494066257,1132114.4372868512
2024-11-26,1160945.533263752,1138025.7673361122
2024-11-27,1157427.809347095,1134577.4914740433
2024-11-29,1164617.8824075146,1141625.615763547
2024-12-02,1166705.3229734432,1143671.8453959834
2024-12-03,1167246.5112683133,1144202.3493747632
2024-12-04,1174494.568788898,1151307.313376279
2024-12-05,1172561.7534500754,1149412.6563092081
2024-12-06,1174784.4910897212,1151591.5119363395
2024-12-09,1168734.7790792068,1145661.2353164079
2024-12-10,1165101.0862422204,1142099.2800303146
2024-12-11,1174108.0057211334,1150928.381962865
2024-12-12,1168058.293710619,1144998.1053429332
2024-12-13,1167826.3558699603,1144770.7464948846
2024-12-16,1172813.0194441222,1149658.9617279274
2024-12-17,1167980.9810970658,1144922.3190602502
2024-12-18,1133170.976844872,1110799.545282304
2024-12-19,1132823.0700838843,1110458.5070102313
2024-12-20,1142583.787544938,1120026.525198939
2024-12-23,1149425.9538443699,1126733.61121637
2024-12-24,1162201.8632339865,1139257.2944297083
2024-12-26,1162279.1758475397,1139333.0807123913
2024-12-27,1150044.4547527928,1127339.9014778326
2024-12-30,1136920.638602188,1114475.1799924215
2024-12-31,1132784.4137771078,1110420.6138688899
2025-01-02,1130001.1596892034,1107692.3076923077
2025-01-03,1144130.039815996,1121542.250852596
2025-01-06,1150720.9401213808,1128003.0314513075
2025-01-07,1137713.0928911052,1115251.9893899206
2025-01-08,1139375.3140824926,1116881.3944676016
2025-01-10,1121979.97603309,1099829.4808639637
2025-01-13,1123719.50983803,1101534.6722243275
2025-01-14,1125265.7621090882,1103050.3978779844
2025-01-15,1145734.2765472187,1123114.8162182646
2025-01-16,1143530.867060961,1120954.907161804
2025-01-17,1155011.790173567,1132209.170140205
2025-01-21,1165584.290076926,1142572.9442970823
2025-01-22,1172136.5340755344,1148995.8317544528
2025-01-23,1178534.152847037,1155267.146646457
2025-01-24,1175093.741543933,1151894.657067071
2025-01-27,1158471.5296300591,1135600.6062902617
2025-01-28,1168425.5286249951,1145358.0901856765
2025-01-29,1163187.599056786,1140223.5695339143
2025-01-30,1169430.5926011829,1146343.3118605532
2025-01-31,1163206.9272101745,1140242.5161045853
2025-02-03,1155379.025087943,1132569.1549829482
2025-02-04,1163129.6145966214,1140166.7298219022
2025-02-05,1167845.6840233484,1144789.6930655553
2025-02-06,1171904.5962348757,1148768.4729064042
2025-02-07,1161177.4711044107,1138253.1261841608
2025-02-10,1169063.3576868067,1145983.32701781
2025-02-11,1169952.4527426648,1146854.8692686625
2025-02-12,1166183.462831961,1143160.2879878744
2025-02-13,1178495.4965402605,1155229.2535051159
2025-02-14,1178437.512080096,1155172.4137931038
2025-02-18,1181897.2515365882,1158563.8499431605
2025-02-19,1184680.5056244927,1161292.1561197424
2025-02-20,1179751.8265104953,1156460.7805987117
2025-02-21,1159573.234373188,1136680.5608184922
2025-02-24,1154296.6484982027,1131508.1470253887
2025-02-25,1148556.1869418996,1125881.0155361881
2025-02-26,1149136.0315435464,1126449.4126563093
2025-02-27,1130793.6139781205,1108469.1170898068
2025-02-28,1148440.2180215702,1125767.3361121637
2025-03-03,1128319.6103444276,1106043.956043956
2025-03-04,1114963.856353164,1092951.8757104967
2025-03-05,1126947.3114538635,1104698.7495263359
2025-03-06,1106942.6726970505,1085089.0488821527
2025-03-07,1113147.0099346708,1091170.89806745
2025-03-10,1083497.6226371333,1062106.858658583
2025-03-11,1074490.7031582203,1053277.7567260326
2025-03-12,1080192.5084077467,1058866.9950738917
2025-03-13,1065793.0341335188,1044751.7999242138
2025-03-14,1087807.8008427075,1066331.9439181508
2025-03-17,1096196.2194131971,1074554.7555892384
2025-03-18,1084348.061386215,1062940.507768094
2025-03-19,1096157.563106421,1074516.862447897
2025-03-20,1092987.745950752,1071409.624857901
2025-03-21,1090069.19478913,1068548.692686624
2025-03-24,1109590.6297112375,1087684.7290640397
2025-03-25,1112257.9148788126,1090299.3558165974
2025-03-26,1098979.4735011018,1077283.0617658205
2025-03-27,1096060.9223394797,1074422.1295945437
2025-03-28,1073988.1711701264,1052785.1458885942
2025-03-31,1081197.5723839344,1059852.2167487687
2025-04-01,1084251.420619274,1062845.7749147406
2025-04-02,1091112.915072094,1069571.807502842
2025-04-03,1037341.9923460514,1016862.4478969309
2025-04-04,976612.9344002474,957332.3228495643
2025-04-07,974873.4005953071,955627.1314892005
2025-04-08,959604.1594186092,940659.3406593408
2025-04-09,1060381.151184816,1039446.7601364155
2025-04-10,1013916.2704395223,993899.204244032
2025-04-11,1032007.4220109012,1011633.1943918153
2025-04-14,1042019.4054660018,1021447.5179992423
2025-04-15,1039100.8543043798,1018586.5858279653
2025-04-16,1016003.7110054505,995945.4338764685
2025-04-17,1017453.3225095674,997366.4266767716
2025-04-21,993235.1463141212,973626.3736263737
2025-04-22,1019076.8873941784,998957.9386131112
2025-04-23,1034867.9887123584,1014437.28685108
2025-04-24,1056650.8175808885,1035790.0719969688
2025-04-25,1064285.4381692372,1043273.9674118985
2025-04-28,1064691.32939039,1043671.8453959835
2025-04-29,1071398.1986161044,1050246.3054187195
2025-04-30,1071823.4179906452,1050663.129973475
2025-05-01,1079419.382272218,1058109.1322470636
2025-05-02,1095442.4214310565,1073815.839333081
2025-05-05,1089160.7715798833,1067658.2038651006
2025-05-06,1080057.211334029,1058734.3690791968
2025-05-07,1084599.327380262,1063186.8131868134
2025-05-08,1092156.6353550581,1070594.9223190602
2025-05-09,1090765.0083111061,1069230.7692307695
2025-05-12,1126812.014380146,1104566.123531641
2025-05-13,1134253.353434613,1111860.5532398638
2025-05-14,1135702.9649387298,1113281.5460401669
2025-05-15,1141250.1449611506,1118719.2118226604
2025-05-16,1148478.8743283467,1125805.2292535054
2025-05-19,1149735.2042985815,1127036.7563471014
2025-05-20,1145869.5736209364,1123247.4422129598
2025-05-21,1126560.7483860992,1104319.8181129217
2025-05-22,1127005.2959140285,1104755.589238348
2025-05-23,1119312.6908655148,1097214.854111406
2025-05-27,1142583.787544938,1120026.525198939
2025-05-28,1135973.559086165,1113546.7980295569
2025-05-29,1140457.690672233,1117942.402425161
2025-05-30,1139182.0325486104,1116691.9287608943
2025-06-02,1145598.9794735012,1122982.1902235697
2025-06-03,1152131.8953187214,1129386.1311102693
2025-06-04,1151822.6448645096,1129082.9859795377
2025-06-05,1146256.1366887006,1123626.3736263737
2025-06-06,1158026.9821021298,1135164.8351648352
2025-06-09,1159070.702385094,1136187.9499810536
2025-06-10,1165642.274537091,1142629.7840090946
2025-06-11,1162317.8321543161,1139370.9738537327
2025-06-12,1166937.260814102,1143899.204244032
2025-06-13,1153890.7572770498,1131110.2690413038
2025-06-16,1164869.1484015617,1141871.921182266
2025-06-17,1154915.1494066257,1132114.4372868512
2025-06-18,1154741.1960261317,1131943.918150815
2025-06-20,1148633.4995554525,1125956.801818871
2025-06-23,1159979.1255943407,1137078.4388025769
2025-06-24,1172793.691290734,1149640.0151572567
2025-06-25,1173450.8485059338,1150284.1985600607
2025-06-26,1182631.7213653408,1159283.8196286473
2025-06-27,1188507.4799953613,1165043.5771125427
2025-06-30,1194189.9570914996,1170613.8688897311
2025-07-01,1193803.3940237348,1170234.937476317
2025-07-02,1199215.2769724382,1175539.9772641154
2025-07-03,1208666.7439792803,1184804.850322092
2025-07-07,1199659.824500367,1175975.7483895416
2025-07-08,1199002.6672851676,1175331.5649867377
2025-07-09,1206192.7403455873,1182379.689276241
2025-07-10,1209594.4953419152,1185714.285714286
2025-07-11,1205342.3015965056,1181546.04016673
2025-07-14,1207642.3518497043,1183800.6820765443
2025-07-15,1202481.7348950482,1178741.9477074652
2025-07-16,1206501.990799799,1182682.8344069726
2025-07-17,1213885.345394101,1189920.4244031832
2025-07-18,1212996.2503382429,1189048.8821523306
2025-07-21,1215296.3005914416,1191303.5240621448
2025-07-22,1215470.2539719355,1191474.0431981813
2025-07-23,1225810.8160346362,1201610.4585070105
2025-07-24,1226216.7072557886,1202008.3364910951
2025-07-25,1231396.6523638333,1207086.0174308452
2025-07-28,1231087.4019096217,1206782.872300114
2025-07-29,1227840.2721403998,1203599.8484274347
2025-07-30,1226294.0198693417,1202084.1227737782
2025-07-31,1221693.919362944,1197574.8389541495
2025-08-01,1201669.9524527427,1177946.1917392954
2025-08-04,1219935.0574046155,1195850.7010231148
2025-08-05,1213750.0483203835,1189787.7984084883
2025-08-06,1223046.8901001199,1198901.098901099
2025-08-07,1222022.4979705438,1197896.9306555516
2025-08-08,1231551.2775909388,1207237.5899962108
2025-08-11,1229115.9302640224,1204850.3220917014
2025-08-12,1242201.0901078512,1217677.1504357713
2025-08-13,1246453.2838532606,1221845.3959833272
2025-08-14,1246569.2527735902,1221959.0754073516
2025-08-15,1243650.7016119682,1219098.1432360746
2025-08-18,1243380.1074645328,1218832.8912466844
2025-08-19,1236634.581932042,1212220.538082607
2025-08-20,1233348.795856044,1208999.6210685868
2025-08-21,1228400.7885886582,1204149.2989768852
2025-08-22,1247265.066295566,1222641.1519514967
2025-08-25,1241775.8707333102,1217260.3258810157
2025-08-26,1246975.1439947428,1222356.9533914363
2025-08-27,1249816.3825428118,1225142.0992800305
2025-08-28,1254242.5296687153,1229480.8639636226
2025-08-29,1246762.5343074722,1222148.5411140583
2025-09-02,1237523.6769879006,1213092.0803334597
2025-09-03,1244230.5462136148,1219666.5403561958
2025-09-04,1254629.09273648,1229859.795377037
2025-09-05,1250995.3998994937,1226297.8400909437
2025-09-08,1254068.5762882216,1229310.3448275866
2025-09-09,1256967.7992964552,1232152.3304281926
2025-09-10,1260601.4921334416,1235714.285714286
2025-09-11,1271077.3512698596,1245983.32701781
2025-09-12,1270652.1318953186,1245566.5024630544
2025-09-15,1277416.9855811975,1252197.8021978023
2025-09-16,1275658.1236228691,1250473.664266768
2025-09-17,1274073.2150450344,1248920.0454717698
2025-09-18,1280026.286288608,1254755.589238348
2025-09-19,1282809.5403765126,1257483.89541493
2025-09-22,1288878.5805404154,1263433.1186055327
2025-09-23,1281862.4608604894,1256555.5134520654
2025-09-24,1277784.220495574,1252557.7870405458
2025-09-25,1271889.133712165,1246779.0829859795
2025-09-26,1279175.8475395262,1253921.940128837
2025-09-29,1282770.8840697359,1257446.0022735884
2025-09-30,1287602.9224167923,1262182.6449412657
2025-10-01,1291990.4132359196,1266483.5164835167
2025-10-02,1293478.6810468128,1267942.4024251613
2025-10-03,1293459.3528934247,1267923.4558544906
2025-10-06,1298098.1097065986,1272470.6328154607
2025-10-07,1293285.3995129305,1267752.9367184541
2025-10-08,1300997.3327148324,1275312.618416067
2025-10-09,1297228.3428041285,1271618.0371352786
2025-10-10,1262167.0725578878,1237248.9579386131
2025-10-13,1281533.8822528895,1256233.4217506633
2025-10-14,1279968.3018284433,1254698.7495263359
2025-10-15,1285650.7789245816,1260269.041303524
2025-10-16,1276895.1254397156,1251686.2447896933
2025-10-17,1284143.1829603,1258791.208791209
2025-10-20,1297498.9369515637,1271883.2891246686
2025-10-21,1297479.6087981754,1271864.3425539979
