date,close,lr_prob
2026-04-13,686.1,0.161611
2026-04-14,694.46,0.154715
2026-04-15,699.94,0.130331
2026-04-16,701.66,0.121816
2026-04-17,710.14,0.112685
2026-04-20,708.72,0.128455
2026-04-21,704.08,0.098492
2026-04-22,711.21,0.109388
2026-04-23,708.45,0.08878
2026-04-24,713.94,0.091304
2026-04-27,715.17,0.110962
2026-04-28,711.69,0.109932
2026-04-29,711.58,0.105105
2026-04-30,718.66,0.094465
2026-05-01,720.65,0.11492
2026-05-04,718.01,0.10041
2026-05-05,723.77,0.122712
2026-05-06,733.83,0.112804
2026-05-07,731.58,0.104241
2026-05-08,737.62,0.108448
2026-05-11,739.3,0.116986
2026-05-12,738.18,0.09067
2026-05-13,742.31,0.095128
