date,close,prob
2025-11-04,675.24,0.388349
2025-11-05,677.58,0.43468
2025-11-06,670.31,0.421368
2025-11-07,670.97,0.469194
2025-11-10,681.44,0.422506
2025-11-11,683.0,0.385143
2025-11-12,683.38,0.374534
2025-11-13,672.04,0.400796
2025-11-14,671.93,0.473783
2025-11-17,665.67,0.353195
2025-11-18,660.08,0.299773
2025-11-19,662.63,0.347414
2025-11-20,652.53,0.238872
2025-11-21,659.03,0.340949
2025-11-24,668.73,0.424154
2025-11-25,675.02,0.420444
2025-11-26,679.68,0.411113
2025-11-28,683.39,0.371501
2025-12-01,680.27,0.355174
2025-12-02,681.53,0.389384
2025-12-03,683.89,0.383671
2025-12-04,684.39,0.372544
2025-12-05,685.69,0.392805
2025-12-08,683.63,0.339002
2025-12-09,683.04,0.356412
2025-12-10,687.57,0.392987
2025-12-11,689.17,0.386584
2025-12-12,681.76,0.415739
2025-12-15,680.73,0.421262
2025-12-16,678.87,0.415992
2025-12-17,671.4,0.380123
2025-12-18,676.47,0.431731
2025-12-19,680.59,0.430086
2025-12-22,684.83,0.411823
2025-12-23,687.96,0.382469
2025-12-24,690.38,0.354632
2025-12-26,690.31,0.335894
2025-12-29,687.85,0.343105
2025-12-30,687.01,0.352781
2025-12-31,681.92,0.400429
2026-01-02,683.17,0.438865
2026-01-05,687.72,0.378049
2026-01-06,691.81,0.377863
2026-01-07,689.58,0.363587
2026-01-08,689.51,0.363459
2026-01-09,694.07,0.388957
2026-01-12,695.16,0.337053
2026-01-13,693.77,0.347223
2026-01-14,690.36,0.368531
2026-01-15,692.24,0.393637
2026-01-16,691.66,0.388784
2026-01-20,677.58,0.220762
2026-01-21,685.4,0.388524
2026-01-22,688.98,0.431437
2026-01-23,689.23,0.40058
2026-01-26,692.73,0.386271
2026-01-27,695.49,0.358951
2026-01-28,695.42,0.359565
2026-01-29,694.04,0.371495
2026-01-30,691.97,0.38157
2026-02-02,695.41,0.390196
2026-02-03,689.53,0.355029
2026-02-04,686.19,0.433632
2026-02-05,677.62,0.271626
2026-02-06,690.62,0.40512
2026-02-09,693.95,0.409454
2026-02-10,692.12,0.386647
2026-02-11,691.96,0.39624
2026-02-12,681.27,0.306276
2026-02-13,681.75,0.392483
2026-02-17,682.85,0.397113
2026-02-18,686.29,0.458567
2026-02-19,684.48,0.450489
2026-02-20,689.43,0.433392
2026-02-23,682.39,0.376678
2026-02-24,687.35,0.454688
2026-02-25,693.15,0.3931
2026-02-26,689.3,0.396026
2026-02-27,685.99,0.434354
2026-03-02,686.38,0.417751
2026-03-03,680.33,0.339765
2026-03-04,685.13,0.447383
2026-03-05,681.31,0.347437
2026-03-06,672.38,0.22001
2026-03-09,678.27,0.344846
2026-03-10,677.18,0.397194
2026-03-11,676.33,0.398082
2026-03-12,666.06,0.314224
2026-03-13,662.29,0.326248
2026-03-16,669.03,0.422746
2026-03-17,670.79,0.445596
2026-03-18,661.43,0.355552
2026-03-19,659.8,0.340513
2026-03-20,648.57,0.308693
2026-03-23,655.38,0.379921
2026-03-24,653.18,0.349978
2026-03-25,656.82,0.396466
2026-03-26,645.09,0.3241
2026-03-27,634.09,0.2676
2026-03-30,631.97,0.299286
2026-03-31,650.34,0.34433
2026-04-01,655.24,0.388792
2026-04-02,655.83,0.394892
2026-04-06,658.93,0.382758
2026-04-07,659.22,0.359184
2026-04-08,676.01,0.31322
2026-04-09,679.91,0.324572
2026-04-10,679.46,0.331351
2026-04-13,686.1,0.323055
2026-04-14,694.46,0.298622
2026-04-15,699.94,0.306645
2026-04-16,701.66,0.312661
2026-04-17,710.14,0.288851
2026-04-20,708.72,0.27857
2026-04-21,704.08,0.332036
2026-04-22,711.21,0.308594
2026-04-23,708.45,0.327736
2026-04-24,713.94,0.309081
2026-04-27,715.17,0.301708
2026-04-28,711.69,0.322532
2026-04-29,711.58,0.310428
2026-04-30,718.66,0.332658
2026-05-01,720.65,0.330937
2026-05-04,718.01,0.318736
2026-05-05,723.77,0.325483
2026-05-06,733.83,0.281101
2026-05-07,731.58,0.315155
2026-05-08,737.62,0.288558
2026-05-11,739.3,0.268164
2026-05-12,738.18,0.26503
2026-05-13,742.31,0.288913
